26-05-24 16:50:46.789 - INFO: 
| objects     |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:------------|--------------:|--------------:|--------------:|-----------:|
| can         |          67.9 |          26.1 |          57.3 |       62   |
| fabric      |          81   |          43.2 |          58.9 |       67.7 |
| fruit_jelly |          87.3 |          62.1 |          65.2 |       88.9 |
| rice        |          89.4 |          53.7 |          73.9 |       88.1 |
| sheet_metal |          69.9 |          24.5 |          62.7 |       87.4 |
| vial        |          91.4 |          74.3 |          27.1 |       64.7 |
| wallplugs   |          83.7 |          36.6 |          39.2 |       51.4 |
| walnuts     |          90.6 |          49.2 |          33.3 |       50   |
| mean        |          82.6 |          46.2 |          52.2 |       70   |
