26-05-24 14:30:15.605 - INFO: 
| objects    |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:-----------|--------------:|--------------:|--------------:|-----------:|
| carpet     |          99.1 |          97.3 |         100   |      100   |
| bottle     |          92.5 |          85.7 |          93.3 |       98   |
| hazelnut   |          97.6 |          94.6 |          97.8 |       98.8 |
| leather    |          98.8 |          96   |         100   |      100   |
| cable      |          90.5 |          81.9 |          88.1 |       93.2 |
| capsule    |          96.3 |          92.5 |          90.3 |       98   |
| grid       |          98.3 |          92.7 |          99.1 |       99.7 |
| pill       |          92.8 |          94.6 |          82.4 |       95.4 |
| transistor |          73.8 |          58.4 |          87.4 |       83.4 |
| metal_nut  |          92.5 |          84.3 |          95.7 |       99   |
| screw      |          97.6 |          90.4 |          84.3 |       93.7 |
| toothbrush |          94.6 |          90.3 |          92.8 |       97.2 |
| zipper     |          96.3 |          86.4 |          98.1 |       99.5 |
| tile       |          94.9 |          87.1 |         100   |      100   |
| wood       |          97.5 |          92.7 |          99.2 |       99.8 |
| mean       |          94.2 |          88.3 |          93.9 |       97   |
