image,orig_size,gt_label,image_score,heatmap
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\000_overexposed.png,2232x1024,1,0.549255,results\can\000_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\000_regular.png,2232x1024,1,0.557294,results\can\000_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\000_shift_1.png,2232x1024,1,0.570026,results\can\000_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\000_shift_2.png,2232x1024,1,0.546184,results\can\000_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\000_shift_3.png,2232x1024,1,0.550955,results\can\000_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\000_underexposed.png,2232x1024,1,0.565467,results\can\000_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\001_overexposed.png,2232x1024,1,0.612125,results\can\001_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\001_regular.png,2232x1024,1,0.618787,results\can\001_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\001_shift_1.png,2232x1024,1,0.571642,results\can\001_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\001_shift_2.png,2232x1024,1,0.592342,results\can\001_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\001_shift_3.png,2232x1024,1,0.543807,results\can\001_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\001_underexposed.png,2232x1024,1,0.640238,results\can\001_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\002_overexposed.png,2232x1024,1,0.630157,results\can\002_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\002_regular.png,2232x1024,1,0.654173,results\can\002_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\002_shift_1.png,2232x1024,1,0.524972,results\can\002_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\002_shift_2.png,2232x1024,1,0.627720,results\can\002_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\002_shift_3.png,2232x1024,1,0.543841,results\can\002_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\002_underexposed.png,2232x1024,1,0.664130,results\can\002_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\003_overexposed.png,2232x1024,1,0.530276,results\can\003_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\003_regular.png,2232x1024,1,0.531316,results\can\003_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\003_shift_1.png,2232x1024,1,0.558640,results\can\003_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\003_shift_2.png,2232x1024,1,0.551490,results\can\003_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\003_shift_3.png,2232x1024,1,0.544010,results\can\003_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\003_underexposed.png,2232x1024,1,0.522821,results\can\003_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\004_overexposed.png,2232x1024,1,0.623934,results\can\004_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\004_regular.png,2232x1024,1,0.647421,results\can\004_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\004_shift_1.png,2232x1024,1,0.582542,results\can\004_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\004_shift_2.png,2232x1024,1,0.625868,results\can\004_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\004_shift_3.png,2232x1024,1,0.579554,results\can\004_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\004_underexposed.png,2232x1024,1,0.661088,results\can\004_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\005_overexposed.png,2232x1024,1,0.697820,results\can\005_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\005_regular.png,2232x1024,1,0.682827,results\can\005_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\005_shift_1.png,2232x1024,1,0.656848,results\can\005_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\005_shift_2.png,2232x1024,1,0.652820,results\can\005_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\005_shift_3.png,2232x1024,1,0.628829,results\can\005_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\005_underexposed.png,2232x1024,1,0.712708,results\can\005_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\006_overexposed.png,2232x1024,1,0.610495,results\can\006_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\006_regular.png,2232x1024,1,0.630714,results\can\006_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\006_shift_1.png,2232x1024,1,0.616613,results\can\006_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\006_shift_2.png,2232x1024,1,0.586732,results\can\006_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\006_shift_3.png,2232x1024,1,0.609282,results\can\006_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\006_underexposed.png,2232x1024,1,0.598301,results\can\006_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\007_overexposed.png,2232x1024,1,0.606002,results\can\007_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\007_regular.png,2232x1024,1,0.612714,results\can\007_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\007_shift_1.png,2232x1024,1,0.591951,results\can\007_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\007_shift_2.png,2232x1024,1,0.581340,results\can\007_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\007_shift_3.png,2232x1024,1,0.565883,results\can\007_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\007_underexposed.png,2232x1024,1,0.619880,results\can\007_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\008_overexposed.png,2232x1024,1,0.601426,results\can\008_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\can\test_public\bad\008_regular.png,2232x1024,1,0.617306,results\can\008_regular_heatmap.png
