image,orig_size,gt_label,image_score,heatmap
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\000_overexposed.png,2448x2048,1,0.517477,results\fabric\000_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\000_regular.png,2448x2048,1,0.509891,results\fabric\000_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\000_shift_1.png,2448x2048,1,0.519255,results\fabric\000_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\000_shift_2.png,2448x2048,1,0.484425,results\fabric\000_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\000_shift_3.png,2448x2048,1,0.500447,results\fabric\000_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\000_underexposed.png,2448x2048,1,0.517267,results\fabric\000_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\001_overexposed.png,2448x2048,1,0.486456,results\fabric\001_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\001_regular.png,2448x2048,1,0.484071,results\fabric\001_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\001_shift_1.png,2448x2048,1,0.472415,results\fabric\001_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\001_shift_2.png,2448x2048,1,0.481310,results\fabric\001_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\001_shift_3.png,2448x2048,1,0.465993,results\fabric\001_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\001_underexposed.png,2448x2048,1,0.482573,results\fabric\001_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\002_overexposed.png,2448x2048,1,0.455134,results\fabric\002_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\002_regular.png,2448x2048,1,0.453827,results\fabric\002_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\002_shift_1.png,2448x2048,1,0.462947,results\fabric\002_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\002_shift_2.png,2448x2048,1,0.474858,results\fabric\002_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\002_shift_3.png,2448x2048,1,0.474131,results\fabric\002_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\002_underexposed.png,2448x2048,1,0.457475,results\fabric\002_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\003_overexposed.png,2448x2048,1,0.474523,results\fabric\003_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fabric\test_public\bad\003_regular.png,2448x2048,1,0.474977,results\fabric\003_regular_heatmap.png
