image,orig_size,gt_label,image_score,heatmap
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\000_overexposed.png,2100x1520,1,0.640171,results\fruit_jelly\000_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\000_regular.png,2100x1520,1,0.570321,results\fruit_jelly\000_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\000_shift_1.png,2100x1520,1,0.618684,results\fruit_jelly\000_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\000_underexposed.png,2100x1520,1,0.623891,results\fruit_jelly\000_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\001_overexposed.png,2100x1520,1,0.654959,results\fruit_jelly\001_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\001_regular.png,2100x1520,1,0.647922,results\fruit_jelly\001_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\001_shift_1.png,2100x1520,1,0.615091,results\fruit_jelly\001_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\001_underexposed.png,2100x1520,1,0.663198,results\fruit_jelly\001_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\002_overexposed.png,2100x1520,1,0.488403,results\fruit_jelly\002_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\002_regular.png,2100x1520,1,0.500284,results\fruit_jelly\002_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\002_shift_1.png,2100x1520,1,0.538868,results\fruit_jelly\002_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\002_underexposed.png,2100x1520,1,0.517461,results\fruit_jelly\002_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\003_overexposed.png,2100x1520,1,0.583125,results\fruit_jelly\003_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\003_regular.png,2100x1520,1,0.576711,results\fruit_jelly\003_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\003_shift_1.png,2100x1520,1,0.588739,results\fruit_jelly\003_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\003_underexposed.png,2100x1520,1,0.596123,results\fruit_jelly\003_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\004_overexposed.png,2100x1520,1,0.617353,results\fruit_jelly\004_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\004_regular.png,2100x1520,1,0.595440,results\fruit_jelly\004_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\004_shift_1.png,2100x1520,1,0.612088,results\fruit_jelly\004_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\004_underexposed.png,2100x1520,1,0.603230,results\fruit_jelly\004_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\005_overexposed.png,2100x1520,1,0.600293,results\fruit_jelly\005_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\005_regular.png,2100x1520,1,0.602577,results\fruit_jelly\005_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\005_shift_1.png,2100x1520,1,0.616205,results\fruit_jelly\005_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\005_underexposed.png,2100x1520,1,0.605240,results\fruit_jelly\005_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\006_overexposed.png,2100x1520,1,0.581209,results\fruit_jelly\006_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\006_regular.png,2100x1520,1,0.590762,results\fruit_jelly\006_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\006_shift_1.png,2100x1520,1,0.590717,results\fruit_jelly\006_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\006_underexposed.png,2100x1520,1,0.592973,results\fruit_jelly\006_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\fruit_jelly\test_public\bad\007_overexposed.png,2100x1520,1,0.650373,results\fruit_jelly\007_overexposed_heatmap.png
