image,orig_size,gt_label,image_score,heatmap
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\000_overexposed.png,2448x2048,1,0.467925,results\rice\000_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\000_regular.png,2448x2048,1,0.466897,results\rice\000_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\000_shift_1.png,2448x2048,1,0.480760,results\rice\000_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\000_shift_2.png,2448x2048,1,0.470303,results\rice\000_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\000_shift_3.png,2448x2048,1,0.488615,results\rice\000_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\000_underexposed.png,2448x2048,1,0.465149,results\rice\000_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\001_overexposed.png,2448x2048,1,0.484709,results\rice\001_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\001_regular.png,2448x2048,1,0.502193,results\rice\001_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\001_shift_1.png,2448x2048,1,0.465972,results\rice\001_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\001_shift_2.png,2448x2048,1,0.497936,results\rice\001_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\001_shift_3.png,2448x2048,1,0.500275,results\rice\001_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\001_underexposed.png,2448x2048,1,0.517403,results\rice\001_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\002_overexposed.png,2448x2048,1,0.524538,results\rice\002_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\002_regular.png,2448x2048,1,0.518901,results\rice\002_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\002_shift_1.png,2448x2048,1,0.494344,results\rice\002_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\002_shift_2.png,2448x2048,1,0.514982,results\rice\002_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\002_shift_3.png,2448x2048,1,0.518517,results\rice\002_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\002_underexposed.png,2448x2048,1,0.524355,results\rice\002_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\003_overexposed.png,2448x2048,1,0.466731,results\rice\003_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\003_regular.png,2448x2048,1,0.468927,results\rice\003_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\003_shift_1.png,2448x2048,1,0.463785,results\rice\003_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\003_shift_2.png,2448x2048,1,0.496758,results\rice\003_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\003_shift_3.png,2448x2048,1,0.482638,results\rice\003_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\003_underexposed.png,2448x2048,1,0.466491,results\rice\003_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\004_overexposed.png,2448x2048,1,0.582233,results\rice\004_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\004_regular.png,2448x2048,1,0.583231,results\rice\004_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\004_shift_1.png,2448x2048,1,0.571100,results\rice\004_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\004_shift_2.png,2448x2048,1,0.490386,results\rice\004_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\004_shift_3.png,2448x2048,1,0.491859,results\rice\004_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\004_underexposed.png,2448x2048,1,0.583303,results\rice\004_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\005_overexposed.png,2448x2048,1,0.479979,results\rice\005_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\005_regular.png,2448x2048,1,0.479727,results\rice\005_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\005_shift_1.png,2448x2048,1,0.492727,results\rice\005_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\005_shift_2.png,2448x2048,1,0.506723,results\rice\005_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\005_shift_3.png,2448x2048,1,0.512845,results\rice\005_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\005_underexposed.png,2448x2048,1,0.480501,results\rice\005_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\006_overexposed.png,2448x2048,1,0.457291,results\rice\006_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\006_regular.png,2448x2048,1,0.456071,results\rice\006_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\006_shift_1.png,2448x2048,1,0.473735,results\rice\006_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\006_shift_2.png,2448x2048,1,0.474451,results\rice\006_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\006_shift_3.png,2448x2048,1,0.482191,results\rice\006_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\006_underexposed.png,2448x2048,1,0.456175,results\rice\006_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\007_overexposed.png,2448x2048,1,0.509192,results\rice\007_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\007_regular.png,2448x2048,1,0.506064,results\rice\007_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\007_shift_1.png,2448x2048,1,0.508253,results\rice\007_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\007_shift_2.png,2448x2048,1,0.548470,results\rice\007_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\rice\test_public\bad\007_shift_3.png,2448x2048,1,0.503426,results\rice\007_shift_3_heatmap.png
