image,orig_size,gt_label,image_score,heatmap
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\000_overexposed.png,4224x1056,1,0.469852,results\sheet_metal\000_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\000_regular.png,4224x1056,1,0.471988,results\sheet_metal\000_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\000_shift_1.png,4224x1056,1,0.564574,results\sheet_metal\000_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\000_shift_2.png,4224x1056,1,0.567172,results\sheet_metal\000_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\000_shift_3.png,4224x1056,1,0.558607,results\sheet_metal\000_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\000_underexposed.png,4224x1056,1,0.472241,results\sheet_metal\000_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\001_overexposed.png,4224x1056,1,0.421096,results\sheet_metal\001_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\001_regular.png,4224x1056,1,0.411838,results\sheet_metal\001_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\001_shift_1.png,4224x1056,1,0.454562,results\sheet_metal\001_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\001_shift_2.png,4224x1056,1,0.453978,results\sheet_metal\001_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\001_shift_3.png,4224x1056,1,0.444406,results\sheet_metal\001_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\001_underexposed.png,4224x1056,1,0.420017,results\sheet_metal\001_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\002_overexposed.png,4224x1056,1,0.451504,results\sheet_metal\002_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\002_regular.png,4224x1056,1,0.457528,results\sheet_metal\002_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\002_shift_1.png,4224x1056,1,0.585317,results\sheet_metal\002_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\002_shift_2.png,4224x1056,1,0.590453,results\sheet_metal\002_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\002_shift_3.png,4224x1056,1,0.580182,results\sheet_metal\002_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\002_underexposed.png,4224x1056,1,0.456621,results\sheet_metal\002_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\003_overexposed.png,4224x1056,1,0.527359,results\sheet_metal\003_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\003_regular.png,4224x1056,1,0.503710,results\sheet_metal\003_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\003_shift_1.png,4224x1056,1,0.581877,results\sheet_metal\003_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\003_shift_2.png,4224x1056,1,0.583853,results\sheet_metal\003_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\003_shift_3.png,4224x1056,1,0.571873,results\sheet_metal\003_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\003_underexposed.png,4224x1056,1,0.491757,results\sheet_metal\003_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\sheet_metal\test_public\bad\004_overexposed.png,4224x1056,1,0.559867,results\sheet_metal\004_overexposed_heatmap.png
