image,orig_size,gt_label,image_score,heatmap
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\000_overexposed.png,1400x1900,1,0.450310,results\vial\000_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\000_regular.png,1400x1900,1,0.386419,results\vial\000_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\000_shift_1.png,1400x1900,1,0.400142,results\vial\000_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\000_shift_2.png,1400x1900,1,0.379844,results\vial\000_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\000_shift_3.png,1400x1900,1,0.382754,results\vial\000_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\000_shift_4.png,1400x1900,1,0.386548,results\vial\000_shift_4_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\000_underexposed.png,1400x1900,1,0.369676,results\vial\000_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\001_overexposed.png,1400x1900,1,0.462514,results\vial\001_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\001_regular.png,1400x1900,1,0.377298,results\vial\001_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\001_shift_1.png,1400x1900,1,0.394554,results\vial\001_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\001_shift_2.png,1400x1900,1,0.487202,results\vial\001_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\001_shift_3.png,1400x1900,1,0.377315,results\vial\001_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\001_shift_4.png,1400x1900,1,0.392030,results\vial\001_shift_4_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\001_underexposed.png,1400x1900,1,0.368072,results\vial\001_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\002_overexposed.png,1400x1900,1,0.487219,results\vial\002_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\vial\test_public\bad\002_regular.png,1400x1900,1,0.481835,results\vial\002_regular_heatmap.png
