image,orig_size,gt_label,image_score,heatmap
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\000_overexposed.png,2448x2048,1,0.524387,results\wallplugs\000_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\000_regular.png,2448x2048,1,0.515313,results\wallplugs\000_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\000_shift_1.png,2448x2048,1,0.527560,results\wallplugs\000_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\000_shift_2.png,2448x2048,1,0.524133,results\wallplugs\000_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\000_shift_3.png,2448x2048,1,0.541303,results\wallplugs\000_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\000_underexposed.png,2448x2048,1,0.508303,results\wallplugs\000_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\001_overexposed.png,2448x2048,1,0.492885,results\wallplugs\001_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\001_regular.png,2448x2048,1,0.494722,results\wallplugs\001_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\001_shift_1.png,2448x2048,1,0.507012,results\wallplugs\001_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\001_shift_2.png,2448x2048,1,0.493877,results\wallplugs\001_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\001_shift_3.png,2448x2048,1,0.510887,results\wallplugs\001_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\001_underexposed.png,2448x2048,1,0.495288,results\wallplugs\001_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\002_overexposed.png,2448x2048,1,0.553759,results\wallplugs\002_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\002_regular.png,2448x2048,1,0.550308,results\wallplugs\002_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\002_shift_1.png,2448x2048,1,0.498100,results\wallplugs\002_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\002_shift_2.png,2448x2048,1,0.546271,results\wallplugs\002_shift_2_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\002_shift_3.png,2448x2048,1,0.508305,results\wallplugs\002_shift_3_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\002_underexposed.png,2448x2048,1,0.551478,results\wallplugs\002_underexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\003_overexposed.png,2448x2048,1,0.485255,results\wallplugs\003_overexposed_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\003_regular.png,2448x2048,1,0.482363,results\wallplugs\003_regular_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\003_shift_1.png,2448x2048,1,0.506288,results\wallplugs\003_shift_1_heatmap.png
C:\anomaly_detection\data\mvtec_ad_2\wallplugs\test_public\bad\003_shift_2.png,2448x2048,1,0.521770,results\wallplugs\003_shift_2_heatmap.png
